"Gene_ID"	"gene_number"	"gene_name"	"chromosome"	"percent.divergent"	"BayesianPostProbofDivergence"	"foldSD"	"MedianAncHominini"	"MedianAncHomo"
"75"	"ENSG00000156463"	3871	"SH3RF2"	"5"	0.759	0.946	1.28063747018444	1.967629832437	1.4610741876215
"76"	"ENSG00000157734"	3875	"SNX22"	"15"	0.754	0.944	1.28222657420379	11.2476456178815	19.553041340565
"77"	"ENSG00000163959"	3891	"SLC51A"	"3"	0.904	0.991	1.76472087015587	2.33144633505	3.9376659835
"78"	"ENSG00000173638"	4009	"SLC19A1"	"21"	0.634	0.904	1.06252372729404	3.7955361324555	5.0181263361325
"79"	"ENSG00000174669"	4014	"SLC29A2"	"11"	0.762	0.932	2.23479217763435	4.4640180721065	3.428368855253
"80"	"ENSG00000183114"	4056	"FAM43B"	"1"	0.657	0.904	1.33486264176976	5.19636261672	3.741795722281
"81"	"ENSG00000184924"	4065	"PTRHD1"	"2"	0.789	0.958	1.89406234043111	7.0063886278425	7.9869065938455
"82"	"ENSG00000048052"	4151	"HDAC9"	"7"	0.703	0.929	1.56908124548055	3.743770626885	2.711494376248
"83"	"ENSG00000079459"	4186	"FDFT1"	"8"	0.7	0.921	1.25416834116917	12.6164221334925	15.0428013356975
"84"	"ENSG00000111665"	4220	"CDCA3"	"12"	0.786	0.945	1.49516521300213	0.987891285109	1.4251323147455
"85"	"ENSG00000111676"	4224	"ATN1"	"12"	0.725	0.919	1.69593294941874	13.580600498093	16.0956575232455
"86"	"ENSG00000112167"	4284	"SAYSD1"	"6"	0.723	0.929	1.26862725999247	3.6664529994215	4.2733150934835
"87"	"ENSG00000118004"	4343	"COLEC11"	"2"	0.696	0.922	1.40224078180523	1.4996471637965	0.9642768372155
"88"	"ENSG00000124334"	4390	"IL9R"	"X"	0.013	0.977	3.63009004989626	0.8299591277775	1.8524776116745
"89"	"ENSG00000124535"	4413	"WRNIP1"	"6"	0.74	0.948	1.32937312586616	8.7231604386145	7.7224090334675
"90"	"ENSG00000129480"	4426	"DTD2"	"14"	0.928	0.986	3.13143537978935	3.1458123427425	4.6940006445995
